Order,Family,Species,"FishBase name",Occurrence,"Name(s) in Territory",Pictures
Gadiformes,Bregmacerotidae,"Bregmaceros mcclellandi","Unicorn cod",native,"Malay : Kod India","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Brmcc_u1.jpg"", ""Open image"")"
Cypriniformes,Danionidae,"Brevibora cheeya",,native,,"No picture yet."
Cypriniformes,Danionidae,"Brevibora dorsiocellata","Eyespot rasbora",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bomac_u8.jpg"", ""Open image"")"
Myliobatiformes,Dasyatidae,"Brevitrygon heterura","Dwarf whipray",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Brhet_m0.jpg"", ""Open image"")"
Ophidiiformes,Ophidiidae,"Brotula multibarbata","Goatsbeard brotula",native,"Malay : Belukor keli","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Brmul_u6.jpg"", ""Open image"")"
Gobiiformes,Gobiidae,"Bryaninops natans","Redeye goby",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Brnat_u3.jpg"", ""Open image"")"
Gobiiformes,Gobiidae,"Bryaninops tigris","Black coral goby",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Brtig_u0.jpg"", ""Open image"")"
Gobiiformes,Gobiidae,"Bryaninops yongei","Whip coral goby",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bryon_u5.jpg"", ""Open image"")"
Gobiiformes,Butidae,"Butis butis","Duckbill sleeper",native,"Malay : Ubi muncung itik","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Bubut_u2.jpg"", ""Open image"")"
Gobiiformes,Butidae,"Butis gymnopomus",,native,"English : Goby","No picture yet."
Gobiiformes,Gobiidae,"Cabillus lacertops","Lizard cabillus",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Calac_u0.jpg"", ""Open image"")"
Eupercaria/misc,Caesionidae,"Caesio caerulaurea","Blue and gold fusilier",native,"Malay : Delah biru emas","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cacae_u0.jpg"", ""Open image"")"
Eupercaria/misc,Caesionidae,"Caesio cuning","Redbelly yellowtail fusilier",native,"Malay : Delah pinang","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cacun_u5.jpg"", ""Open image"")"
